gender,age_category,map_disease_category,year_group,case,total_case,percentage_of_group
Both,15-49 years,Maternal and neonatal disorders,2008 - 2010,11153,78609,14.187942856415933
Both,15-49 years,Maternal and neonatal disorders,2011 - 2013,5897,39437,14.95296295357152
Both,15-49 years,Maternal and neonatal disorders,2014 - 2016,4881,30126,16.201951802429797
Both,15-49 years,Maternal and neonatal disorders,2017 - 2019,3300,22237,14.840131312677068
Both,15-49 years,Maternal and neonatal disorders,2020 - 2022,1506,12858,11.712552496500233
Both,15-49 years,Mental disorders,2008 - 2010,9046,78609,11.507588189647496
Both,15-49 years,Mental disorders,2011 - 2013,5602,39437,14.204934452417781
Both,15-49 years,Mental disorders,2014 - 2016,4276,30126,14.193719710549027
Both,15-49 years,Mental disorders,2017 - 2019,3695,22237,16.616450060709628
Both,15-49 years,Mental disorders,2020 - 2022,2091,12858,16.262249183387777
Both,15-49 years,Musculoskeletal disorders,2008 - 2010,3517,78609,4.474042412446412
Both,15-49 years,Musculoskeletal disorders,2011 - 2013,1641,39437,4.161067018282324
Both,15-49 years,Musculoskeletal disorders,2014 - 2016,1139,30126,3.7807873597556925
Both,15-49 years,Musculoskeletal disorders,2017 - 2019,699,22237,3.1434096325943246
Both,15-49 years,Musculoskeletal disorders,2020 - 2022,463,12858,3.6008710530409083
Both,15-49 years,Neglected tropical diseases and malaria,2008 - 2010,73,78609,0.09286468470531364
Both,15-49 years,Neglected tropical diseases and malaria,2011 - 2013,33,39437,0.08367776453584197
Both,15-49 years,Neglected tropical diseases and malaria,2014 - 2016,41,30126,0.13609506738365532
Both,15-49 years,Neglected tropical diseases and malaria,2017 - 2019,29,22237,0.1304132751720106
Both,15-49 years,Neglected tropical diseases and malaria,2020 - 2022,17,12858,0.13221340799502254
Both,15-49 years,Neoplasms,2008 - 2010,2498,78609,3.177753183477719
Both,15-49 years,Neoplasms,2011 - 2013,1514,39437,3.8390344093110533
Both,15-49 years,Neoplasms,2014 - 2016,1081,30126,3.588262630286131
Both,15-49 years,Neoplasms,2017 - 2019,801,22237,3.6021046004407067
Both,15-49 years,Neoplasms,2020 - 2022,558,12858,4.33971068595427
Both,15-49 years,Neurological disorders,2008 - 2010,3484,78609,4.432062486483736
Both,15-49 years,Neurological disorders,2011 - 2013,1583,39437,4.013997007885996
Both,15-49 years,Neurological disorders,2014 - 2016,1244,30126,4.129323507933346
Both,15-49 years,Neurological disorders,2017 - 2019,916,22237,4.11926069164006
Both,15-49 years,Neurological disorders,2020 - 2022,506,12858,3.9352932026753775
Both,15-49 years,Nutritional deficiencies,2008 - 2010,214,78609,0.2722334592731112
Both,15-49 years,Nutritional deficiencies,2011 - 2013,107,39437,0.27131881228288157
Both,15-49 years,Nutritional deficiencies,2014 - 2016,84,30126,0.27882891854212305
Both,15-49 years,Nutritional deficiencies,2017 - 2019,79,22237,0.35526374960651164
Both,15-49 years,Nutritional deficiencies,2020 - 2022,52,12858,0.4044174832788925
Both,15-49 years,Other infectious diseases,2008 - 2010,1829,78609,2.326705593507105
Both,15-49 years,Other infectious diseases,2011 - 2013,997,39437,2.5280827649161957
Both,15-49 years,Other infectious diseases,2014 - 2016,881,30126,2.9243842528048862
Both,15-49 years,Other infectious diseases,2017 - 2019,688,22237,3.0939425282187347
Both,15-49 years,Other infectious diseases,2020 - 2022,461,12858,3.585316534453259
Both,15-49 years,Other non-communicable diseases,2008 - 2010,5679,78609,7.224363622485976
Both,15-49 years,Other non-communicable diseases,2011 - 2013,2826,39437,7.165859472069376
Both,15-49 years,Other non-communicable diseases,2014 - 2016,2168,30126,7.1964416118967005
Both,15-49 years,Other non-communicable diseases,2017 - 2019,1460,22237,6.565633853487431
Both,15-49 years,Other non-communicable diseases,2020 - 2022,798,12858,6.206252916472235
Both,15-49 years,Respiratory infections and tuberculosis,2008 - 2010,2044,78609,2.600211171748782
Both,15-49 years,Respiratory infections and tuberculosis,2011 - 2013,919,39437,2.330298957831478
Both,15-49 years,Respiratory infections and tuberculosis,2014 - 2016,684,30126,2.2704640509858596
Both,15-49 years,Respiratory infections and tuberculosis,2017 - 2019,417,22237,1.8752529567837388
Both,15-49 years,Respiratory infections and tuberculosis,2020 - 2022,402,12858,3.126458236117592
Both,15-49 years,Self-harm and interpersonal violence,2008 - 2010,1500,78609,1.9081784528489103
Both,15-49 years,Self-harm and interpersonal violence,2011 - 2013,856,39437,2.1705504982630526
Both,15-49 years,Self-harm and interpersonal violence,2014 - 2016,952,30126,3.1600610768107282
Both,15-49 years,Self-harm and interpersonal violence,2017 - 2019,886,22237,3.9843504069793587
Both,15-49 years,Self-harm and interpersonal violence,2020 - 2022,581,12858,4.5185876497122415
Both,15-49 years,Sense organ diseases,2008 - 2010,287,78609,0.3650981439784249
Both,15-49 years,Sense organ diseases,2011 - 2013,173,39437,0.43867434135456557
Both,15-49 years,Sense organ diseases,2014 - 2016,146,30126,0.4846312155613092
Both,15-49 years,Sense organ diseases,2017 - 2019,105,22237,0.4721859963124522
Both,15-49 years,Sense organ diseases,2020 - 2022,49,12858,0.381085705397418
Both,15-49 years,Skin and subcutaneous diseases,2008 - 2010,2372,78609,3.0174661934384104
Both,15-49 years,Skin and subcutaneous diseases,2011 - 2013,1175,39437,2.979435555442858
Both,15-49 years,Skin and subcutaneous diseases,2014 - 2016,796,30126,2.642235942375357
Both,15-49 years,Skin and subcutaneous diseases,2017 - 2019,586,22237,2.635247560372352
Both,15-49 years,Skin and subcutaneous diseases,2020 - 2022,269,12858,2.092082750038886
Both,15-49 years,Substance use disorders,2008 - 2010,4805,78609,6.112531643959343
Both,15-49 years,Substance use disorders,2011 - 2013,2443,39437,6.1946902654867255
Both,15-49 years,Substance use disorders,2014 - 2016,1986,30126,6.592312288388767
Both,15-49 years,Substance use disorders,2017 - 2019,1242,22237,5.585285784953006
Both,15-49 years,Substance use disorders,2020 - 2022,647,12858,5.031886763104683
Both,15-49 years,Transport injuries,2008 - 2010,736,78609,0.936279560864532
Both,15-49 years,Transport injuries,2011 - 2013,544,39437,1.3794152699241828
Both,15-49 years,Transport injuries,2014 - 2016,328,30126,1.0887605390692425
Both,15-49 years,Transport injuries,2017 - 2019,283,22237,1.272653685299276
Both,15-49 years,Transport injuries,2020 - 2022,244,12858,1.897651267693265
Both,15-49 years,Unintentional injuries,2008 - 2010,3079,78609,3.9168543042145303
Both,15-49 years,Unintentional injuries,2011 - 2013,1797,39437,4.556634632451758
Both,15-49 years,Unintentional injuries,2014 - 2016,1307,30126,4.338445196839938
Both,15-49 years,Unintentional injuries,2017 - 2019,1329,22237,5.9765256104690385
Both,15-49 years,Unintentional injuries,2020 - 2022,749,12858,5.825167211074818
Both,50-69 years,Cardiovascular diseases,2008 - 2010,15555,86514,17.97974894236771
Both,50-69 years,Cardiovascular diseases,2011 - 2013,8450,44109,19.157088122605366
Both,50-69 years,Cardiovascular diseases,2014 - 2016,7409,35039,21.14500984617141
Both,50-69 years,Cardiovascular diseases,2017 - 2019,5727,26020,22.00999231360492
Both,50-69 years,Cardiovascular diseases,2020 - 2022,3340,15585,21.43086300930382
Both,50-69 years,Chronic respiratory diseases,2008 - 2010,7905,86514,9.137249462514738
Both,50-69 years,Chronic respiratory diseases,2011 - 2013,3159,44109,7.161803713527852
Both,50-69 years,Chronic respiratory diseases,2014 - 2016,1568,35039,4.4750135563229545
Both,50-69 years,Chronic respiratory diseases,2017 - 2019,810,26020,3.112990007686395
Both,50-69 years,Chronic respiratory diseases,2020 - 2022,435,15585,2.791145332050048
Both,50-69 years,Diabetes and kidney diseases,2008 - 2010,6552,86514,7.5733407309799565
Both,50-69 years,Diabetes and kidney diseases,2011 - 2013,2469,44109,5.597497109433449
Both,50-69 years,Diabetes and kidney diseases,2014 - 2016,1666,35039,4.754701903593139
Both,50-69 years,Diabetes and kidney diseases,2017 - 2019,1294,26020,4.973097617217525
Both,50-69 years,Diabetes and kidney diseases,2020 - 2022,666,15585,4.273339749759384
Both,50-69 years,Digestive diseases,2008 - 2010,11927,86514,13.786208012576
Both,50-69 years,Digestive diseases,2011 - 2013,6357,44109,14.412024756852343
Both,50-69 years,Digestive diseases,2014 - 2016,4929,35039,14.067182282599388
Both,50-69 years,Digestive diseases,2017 - 2019,3416,26020,13.128362797847808
Both,50-69 years,Digestive diseases,2020 - 2022,2033,15585,13.044594161052295
Both,50-69 years,Enteric infections,2008 - 2010,938,86514,1.0842175832813186
Both,50-69 years,Enteric infections,2011 - 2013,333,44109,0.7549479698020811
Both,50-69 years,Enteric infections,2014 - 2016,264,35039,0.7534461599931505
Both,50-69 years,Enteric infections,2017 - 2019,191,26020,0.7340507302075328
Both,50-69 years,Enteric infections,2020 - 2022,72,15585,0.46198267564966317
Both,50-69 years,HIV/AIDS and sexually transmitted infections,2008 - 2010,240,86514,0.27741174838754423
Both,50-69 years,HIV/AIDS and sexually transmitted infections,2011 - 2013,111,44109,0.25164932326736045
Both,50-69 years,HIV/AIDS and sexually transmitted infections,2014 - 2016,71,35039,0.20263135363452153
Both,50-69 years,HIV/AIDS and sexually transmitted infections,2017 - 2019,37,26020,0.14219830899308225
Both,50-69 years,HIV/AIDS and sexually transmitted infections,2020 - 2022,53,15585,0.3400705806865576
Both,50-69 years,Maternal and neonatal disorders,2008 - 2010,112,86514,0.12945881591418731
Both,50-69 years,Maternal and neonatal disorders,2011 - 2013,66,44109,0.14962932734816026
Both,50-69 years,Maternal and neonatal disorders,2014 - 2016,82,35039,0.23402494363423615
Both,50-69 years,Maternal and neonatal disorders,2017 - 2019,43,26020,0.1652574942352037
Both,50-69 years,Maternal and neonatal disorders,2020 - 2022,49,15585,0.3144048764837985
Both,50-69 years,Mental disorders,2008 - 2010,3833,86514,4.430496798206071
Both,50-69 years,Mental disorders,2011 - 2013,1700,44109,3.8540887347253396
Both,50-69 years,Mental disorders,2014 - 2016,1093,35039,3.1193812608807328
Both,50-69 years,Mental disorders,2017 - 2019,799,26020,3.070714834742506
Both,50-69 years,Mental disorders,2020 - 2022,449,15585,2.8809752967597047
Both,50-69 years,Musculoskeletal disorders,2008 - 2010,5980,86514,6.9121760639896435
Both,50-69 years,Musculoskeletal disorders,2011 - 2013,2930,44109,6.642635289850143
Both,50-69 years,Musculoskeletal disorders,2014 - 2016,2166,35039,6.18168326721653
Both,50-69 years,Musculoskeletal disorders,2017 - 2019,1530,26020,5.8800922367409685
Both,50-69 years,Musculoskeletal disorders,2020 - 2022,837,15585,5.370548604427334
Both,50-69 years,Neglected tropical diseases and malaria,2008 - 2010,69,86514,0.07975587766141896
Both,50-69 years,Neglected tropical diseases and malaria,2011 - 2013,43,44109,0.09748577387834682
Both,50-69 years,Neglected tropical diseases and malaria,2014 - 2016,48,35039,0.13699021090784552
Both,50-69 years,Neglected tropical diseases and malaria,2017 - 2019,36,26020,0.13835511145272866
Both,50-69 years,Neglected tropical diseases and malaria,2020 - 2022,23,15585,0.1475777991658646
Both,50-69 years,Neoplasms,2008 - 2010,6089,86514,7.038167233048986
Both,50-69 years,Neoplasms,2011 - 2013,4320,44109,9.793919608243215
Both,50-69 years,Neoplasms,2014 - 2016,3677,35039,10.494020948086417
Both,50-69 years,Neoplasms,2017 - 2019,2773,26020,10.657186779400462
Both,50-69 years,Neoplasms,2020 - 2022,1852,15585,11.883221045877445
Both,50-69 years,Neurological disorders,2008 - 2010,3398,86514,3.9276880042536466
Both,50-69 years,Neurological disorders,2011 - 2013,1672,44109,3.7906096261533926
Both,50-69 years,Neurological disorders,2014 - 2016,1347,35039,3.8442877936014157
Both,50-69 years,Neurological disorders,2017 - 2019,1010,26020,3.8816295157571097
Both,50-69 years,Neurological disorders,2020 - 2022,612,15585,3.926852743022137
Both,50-69 years,Nutritional deficiencies,2008 - 2010,300,86514,0.34676468548443024
Both,50-69 years,Nutritional deficiencies,2011 - 2013,144,44109,0.3264639869414405
Both,50-69 years,Nutritional deficiencies,2014 - 2016,159,35039,0.4537800736322384
Both,50-69 years,Nutritional deficiencies,2017 - 2019,105,26020,0.4035357417371253
Both,50-69 years,Nutritional deficiencies,2020 - 2022,65,15585,0.4170676932948348
Both,50-69 years,Other infectious diseases,2008 - 2010,3338,86514,3.858335067156761
Both,50-69 years,Other infectious diseases,2011 - 2013,1920,44109,4.352853159219207
Both,50-69 years,Other infectious diseases,2014 - 2016,1592,35039,4.543508661776877
Both,50-69 years,Other infectious diseases,2017 - 2019,1120,26020,4.304381245196003
Both,50-69 years,Other infectious diseases,2020 - 2022,760,15585,4.876483798524222
Both,50-69 years,Other non-communicable diseases,2008 - 2010,5979,86514,6.9110201817046955
Both,50-69 years,Other non-communicable diseases,2011 - 2013,3202,44109,7.259289487406198
Both,50-69 years,Other non-communicable diseases,2014 - 2016,2350,35039,6.706812409029938
Both,50-69 years,Other non-communicable diseases,2017 - 2019,1678,26020,6.448885472713298
Both,50-69 years,Other non-communicable diseases,2020 - 2022,958,15585,6.146936156560796
Both,50-69 years,Respiratory infections and tuberculosis,2008 - 2010,3136,86514,3.6248468455972445
Both,50-69 years,Respiratory infections and tuberculosis,2011 - 2013,1405,44109,3.1852909836994714
Both,50-69 years,Respiratory infections and tuberculosis,2014 - 2016,893,35039,2.5485887154313764
Both,50-69 years,Respiratory infections and tuberculosis,2017 - 2019,635,26020,2.44043043812452
Both,50-69 years,Respiratory infections and tuberculosis,2020 - 2022,499,15585,3.2017965992941932
Both,50-69 years,Self-harm and interpersonal violence,2008 - 2010,1245,86514,1.4390734447603855
Both,50-69 years,Self-harm and interpersonal violence,2011 - 2013,937,44109,2.12428302613979
Both,50-69 years,Self-harm and interpersonal violence,2014 - 2016,1320,35039,3.7672307999657524
Both,50-69 years,Self-harm and interpersonal violence,2017 - 2019,1411,26020,5.422751729438893
Both,50-69 years,Self-harm and interpersonal violence,2020 - 2022,789,15585,5.062560153994225
Both,50-69 years,Sense organ diseases,2008 - 2010,420,86514,0.4854705596782024
Both,50-69 years,Sense organ diseases,2011 - 2013,225,44109,0.5100999795960008
Both,50-69 years,Sense organ diseases,2014 - 2016,172,35039,0.4908815890864465
Both,50-69 years,Sense organ diseases,2017 - 2019,133,26020,0.5111452728670254
Both,50-69 years,Sense organ diseases,2020 - 2022,71,15585,0.4555662495989734
Both,50-69 years,Skin and subcutaneous diseases,2008 - 2010,2691,86514,3.11047922879534
Both,50-69 years,Skin and subcutaneous diseases,2011 - 2013,1154,44109,2.6162461175723775
Both,50-69 years,Skin and subcutaneous diseases,2014 - 2016,782,35039,2.2317988527069836
Both,50-69 years,Skin and subcutaneous diseases,2017 - 2019,446,26020,1.7140661029976942
Both,50-69 years,Skin and subcutaneous diseases,2020 - 2022,256,15585,1.64260506897658
Both,50-69 years,Substance use disorders,2008 - 2010,2613,86514,3.0203204105693873
Both,50-69 years,Substance use disorders,2011 - 2013,882,44109,1.999591920016323
Both,50-69 years,Substance use disorders,2014 - 2016,1003,35039,2.8625246154285224
Both,50-69 years,Substance use disorders,2017 - 2019,460,26020,1.7678708685626443
Both,50-69 years,Substance use disorders,2020 - 2022,200,15585,1.2832852101379533
Both,50-69 years,Transport injuries,2008 - 2010,287,86514,0.33173821578010493
Both,50-69 years,Transport injuries,2011 - 2013,238,44109,0.5395724228615476
Both,50-69 years,Transport injuries,2014 - 2016,145,35039,0.41382459545078343
Both,50-69 years,Transport injuries,2017 - 2019,126,26020,0.48424289008455035
Both,50-69 years,Transport injuries,2020 - 2022,136,15585,0.8726339428938081
Both,50-69 years,Unintentional injuries,2008 - 2010,3907,86514,4.51603208729223
Both,50-69 years,Unintentional injuries,2011 - 2013,2392,44109,5.422929560860595
Both,50-69 years,Unintentional injuries,2014 - 2016,2303,35039,6.572676160849339
Both,50-69 years,Unintentional injuries,2017 - 2019,2240,26020,8.608762490392007
Both,50-69 years,Unintentional injuries,2020 - 2022,1430,15585,9.175489252486365
Both,70+ years,Cardiovascular diseases,2008 - 2010,16691,61893,26.967508441988592
Both,70+ years,Cardiovascular diseases,2011 - 2013,8918,31117,28.659575151846255
Both,70+ years,Cardiovascular diseases,2014 - 2016,7866,25772,30.52149619742356
Both,70+ years,Cardiovascular diseases,2017 - 2019,6178,21483,28.757622306009402
Both,70+ years,Cardiovascular diseases,2020 - 2022,3934,13933,28.235125242230673
Both,70+ years,Chronic respiratory diseases,2008 - 2010,5057,61893,8.170552404956942
Both,70+ years,Chronic respiratory diseases,2011 - 2013,1833,31117,5.890670694475689
Both,70+ years,Chronic respiratory diseases,2014 - 2016,1161,25772,4.504889026850846
Both,70+ years,Chronic respiratory diseases,2017 - 2019,751,21483,3.4957873667551085
Both,70+ years,Chronic respiratory diseases,2020 - 2022,427,13933,3.0646666188186322
Both,70+ years,Diabetes and kidney diseases,2008 - 2010,4409,61893,7.123584250238315
Both,70+ years,Diabetes and kidney diseases,2011 - 2013,1893,31117,6.083491339139377
Both,70+ years,Diabetes and kidney diseases,2014 - 2016,1477,25772,5.731025919602669
Both,70+ years,Diabetes and kidney diseases,2017 - 2019,1342,21483,6.2467997951868925
Both,70+ years,Diabetes and kidney diseases,2020 - 2022,734,13933,5.268068614081677
Both,70+ years,Digestive diseases,2008 - 2010,7657,61893,12.371350556605755
Both,70+ years,Digestive diseases,2011 - 2013,3908,31117,12.559051322428255
Both,70+ years,Digestive diseases,2014 - 2016,2901,25772,11.256402297066584
Both,70+ years,Digestive diseases,2017 - 2019,2319,21483,10.794581762323698
Both,70+ years,Digestive diseases,2020 - 2022,1356,13933,9.732290246178138
Both,70+ years,Enteric infections,2008 - 2010,711,61893,1.1487567253162716
Both,70+ years,Enteric infections,2011 - 2013,245,31117,0.7873509657100619
Both,70+ years,Enteric infections,2014 - 2016,186,25772,0.7217134875058203
Both,70+ years,Enteric infections,2017 - 2019,129,21483,0.6004747940231812
Both,70+ years,Enteric infections,2020 - 2022,57,13933,0.409100696188904
Both,70+ years,HIV/AIDS and sexually transmitted infections,2008 - 2010,19,61893,0.0306981403389721
Both,70+ years,HIV/AIDS and sexually transmitted infections,2011 - 2013,10,31117,0.03213677411061478
Both,70+ years,HIV/AIDS and sexually transmitted infections,2014 - 2016,12,25772,0.04656216048424647
Both,70+ years,HIV/AIDS and sexually transmitted infections,2017 - 2019,15,21483,0.06982265046781176
Both,70+ years,HIV/AIDS and sexually transmitted infections,2020 - 2022,29,13933,0.20813895069260027
Both,70+ years,Maternal and neonatal disorders,2008 - 2010,47,61893,0.07593750504903624
Both,70+ years,Maternal and neonatal disorders,2011 - 2013,33,31117,0.10605135456502876
Both,70+ years,Maternal and neonatal disorders,2014 - 2016,36,25772,0.1396864814527394
Both,70+ years,Maternal and neonatal disorders,2017 - 2019,34,21483,0.15826467439370664
Both,70+ years,Maternal and neonatal disorders,2020 - 2022,25,13933,0.17943012990741405
Both,70+ years,Mental disorders,2008 - 2010,1627,61893,2.6287302279740845
Both,70+ years,Mental disorders,2011 - 2013,696,31117,2.2367194780987885
Both,70+ years,Mental disorders,2014 - 2016,377,25772,1.46282787521341
Both,70+ years,Mental disorders,2017 - 2019,194,21483,0.903039612717032
Both,70+ years,Mental disorders,2020 - 2022,111,13933,0.7966697767889185
Both,70+ years,Musculoskeletal disorders,2008 - 2010,3342,61893,5.399641316465513
Both,70+ years,Musculoskeletal disorders,2011 - 2013,1719,31117,5.5243114696146804
Both,70+ years,Musculoskeletal disorders,2014 - 2016,1189,25772,4.613534067980754
Both,70+ years,Musculoskeletal disorders,2017 - 2019,1048,21483,4.8782758460177815
Both,70+ years,Musculoskeletal disorders,2020 - 2022,733,13933,5.26089140888538
Both,70+ years,Neglected tropical diseases and malaria,2008 - 2010,28,61893,0.045239364710064144
Both,70+ years,Neglected tropical diseases and malaria,2011 - 2013,15,31117,0.04820516116592216
Both,70+ years,Neglected tropical diseases and malaria,2014 - 2016,26,25772,0.10088468104920069
Both,70+ years,Neglected tropical diseases and malaria,2017 - 2019,20,21483,0.09309686729041568
Both,70+ years,Neglected tropical diseases and malaria,2020 - 2022,18,13933,0.12918969353333812
Both,70+ years,Neoplasms,2008 - 2010,3397,61893,5.488504354288853
Both,70+ years,Neoplasms,2011 - 2013,2290,31117,7.359321271330783
Both,70+ years,Neoplasms,2014 - 2016,2096,25772,8.132857364581717
Both,70+ years,Neoplasms,2017 - 2019,1900,21483,8.844202392589489
Both,70+ years,Neoplasms,2020 - 2022,1459,13933,10.471542381396684
Both,70+ years,Neurological disorders,2008 - 2010,2518,61893,4.068311440712197
Both,70+ years,Neurological disorders,2011 - 2013,1450,31117,4.659832246039143
Both,70+ years,Neurological disorders,2014 - 2016,1285,25772,4.986031351854726
Both,70+ years,Neurological disorders,2017 - 2019,1080,21483,5.027230833682447
Both,70+ years,Neurological disorders,2020 - 2022,677,13933,4.858967917892772
Both,70+ years,Nutritional deficiencies,2008 - 2010,279,61893,0.4507779555038534
Both,70+ years,Nutritional deficiencies,2011 - 2013,135,31117,0.4338464504932995
Both,70+ years,Nutritional deficiencies,2014 - 2016,118,25772,0.457861244761757
Both,70+ years,Nutritional deficiencies,2017 - 2019,104,21483,0.4841037099101615
Both,70+ years,Nutritional deficiencies,2020 - 2022,66,13933,0.47369554295557315
Both,70+ years,Other infectious diseases,2008 - 2010,2359,61893,3.811416476822904
Both,70+ years,Other infectious diseases,2011 - 2013,1472,31117,4.730533149082495
Both,70+ years,Other infectious diseases,2014 - 2016,1455,25772,5.645661958714884
Both,70+ years,Other infectious diseases,2017 - 2019,1139,21483,5.301866592189173
Both,70+ years,Other infectious diseases,2020 - 2022,799,13933,5.734586951840953
Both,70+ years,Other non-communicable diseases,2008 - 2010,5385,61893,8.700499248703407
Both,70+ years,Other non-communicable diseases,2011 - 2013,2448,31117,7.867082302278497
Both,70+ years,Other non-communicable diseases,2014 - 2016,1894,25772,7.349060996430234
Both,70+ years,Other non-communicable diseases,2017 - 2019,1510,21483,7.0288134804263835
Both,70+ years,Other non-communicable diseases,2020 - 2022,808,13933,5.799181798607622
Both,70+ years,Respiratory infections and tuberculosis,2008 - 2010,3001,61893,4.848690481960803
Both,70+ years,Respiratory infections and tuberculosis,2011 - 2013,1233,31117,3.9624642478388017
Both,70+ years,Respiratory infections and tuberculosis,2014 - 2016,872,25772,3.383516995188577
Both,70+ years,Respiratory infections and tuberculosis,2017 - 2019,600,21483,2.79290601871247
Both,70+ years,Respiratory infections and tuberculosis,2020 - 2022,487,13933,3.4952989305964257
Both,70+ years,Self-harm and interpersonal violence,2008 - 2010,384,61893,0.620425573166594
Both,70+ years,Self-harm and interpersonal violence,2011 - 2013,337,31117,1.083009287527718
Both,70+ years,Self-harm and interpersonal violence,2014 - 2016,784,25772,3.042061151637436
Both,70+ years,Self-harm and interpersonal violence,2017 - 2019,1038,21483,4.831727412372574
Both,70+ years,Self-harm and interpersonal violence,2020 - 2022,625,13933,4.485753247685351
Both,70+ years,Sense organ diseases,2008 - 2010,380,61893,0.6139628067794419
Both,70+ years,Sense organ diseases,2011 - 2013,161,31117,0.5174020631808979
Both,70+ years,Sense organ diseases,2014 - 2016,117,25772,0.4539810647214031
Both,70+ years,Sense organ diseases,2017 - 2019,72,21483,0.3351487222454964
Both,70+ years,Sense organ diseases,2020 - 2022,51,13933,0.36603746501112466
Both,70+ years,Skin and subcutaneous diseases,2008 - 2010,1401,61893,2.263583927099995
Both,70+ years,Skin and subcutaneous diseases,2011 - 2013,600,31117,1.9282064466368865
Both,70+ years,Skin and subcutaneous diseases,2014 - 2016,396,25772,1.5365512959801335
Both,70+ years,Skin and subcutaneous diseases,2017 - 2019,274,21483,1.2754270818786948
Both,70+ years,Skin and subcutaneous diseases,2020 - 2022,167,13933,1.1985932677815259
Both,70+ years,Substance use disorders,2008 - 2010,229,61893,0.3699933756644532
Both,70+ years,Substance use disorders,2011 - 2013,77,31117,0.24745316065173378
Both,70+ years,Substance use disorders,2014 - 2016,87,25772,0.3375756635107869
Both,70+ years,Substance use disorders,2017 - 2019,50,21483,0.2327421682260392
Both,70+ years,Substance use disorders,2020 - 2022,32,13933,0.22967056628148996
Both,70+ years,Transport injuries,2008 - 2010,119,61893,0.19226730001777262
Both,70+ years,Transport injuries,2011 - 2013,61,31117,0.19603432207475013
Both,70+ years,Transport injuries,2014 - 2016,51,25772,0.1978891820580475
Both,70+ years,Transport injuries,2017 - 2019,49,21483,0.22808732486151842
Both,70+ years,Transport injuries,2020 - 2022,34,13933,0.24402497667408313
Both,70+ years,Unintentional injuries,2008 - 2010,2853,61893,4.609568125636178
Both,70+ years,Unintentional injuries,2011 - 2013,1583,31117,5.087251341710319
Both,70+ years,Unintentional injuries,2014 - 2016,1386,25772,5.377929535930467
Both,70+ years,Unintentional injuries,2017 - 2019,1637,21483,7.6199785877205235
Both,70+ years,Unintentional injuries,2020 - 2022,1304,13933,9.359075575970717
F,All ages,Cardiovascular diseases,2008 - 2010,17178,122266,14.049694927453258
F,All ages,Cardiovascular diseases,2011 - 2013,8590,59047,14.547733161718632
F,All ages,Cardiovascular diseases,2014 - 2016,7595,46222,16.431569382545106
F,All ages,Cardiovascular diseases,2017 - 2019,5970,35149,16.984835983954024
F,All ages,Cardiovascular diseases,2020 - 2022,3578,20669,17.310948763849243
F,All ages,Chronic respiratory diseases,2008 - 2010,9970,122266,8.154351986652053
F,All ages,Chronic respiratory diseases,2011 - 2013,3483,59047,5.898690873372059
F,All ages,Chronic respiratory diseases,2014 - 2016,1952,46222,4.2230972264289734
F,All ages,Chronic respiratory diseases,2017 - 2019,1014,35149,2.884861589234402
F,All ages,Chronic respiratory diseases,2020 - 2022,522,20669,2.525521312109923
F,All ages,Diabetes and kidney diseases,2008 - 2010,6876,122266,5.623803837534556
F,All ages,Diabetes and kidney diseases,2011 - 2013,2399,59047,4.062865175199418
F,All ages,Diabetes and kidney diseases,2014 - 2016,1635,46222,3.537276621522219
F,All ages,Diabetes and kidney diseases,2017 - 2019,1381,35149,3.9289880224188454
F,All ages,Diabetes and kidney diseases,2020 - 2022,622,20669,3.0093376554260005
F,All ages,Digestive diseases,2008 - 2010,17195,122266,14.063599038162694
F,All ages,Digestive diseases,2011 - 2013,8200,59047,13.887242366250613
F,All ages,Digestive diseases,2014 - 2016,5710,46222,12.353424776080654
F,All ages,Digestive diseases,2017 - 2019,4073,35149,11.587811886540157
F,All ages,Digestive diseases,2020 - 2022,2520,20669,12.192171851565146
F,All ages,Enteric infections,2008 - 2010,1468,122266,1.200660854203131
F,All ages,Enteric infections,2011 - 2013,525,59047,0.8891222246684846
F,All ages,Enteric infections,2014 - 2016,406,46222,0.8783696075461901
F,All ages,Enteric infections,2017 - 2019,264,35149,0.7510882244160574
F,All ages,Enteric infections,2020 - 2022,95,20669,0.4596255261502733
F,All ages,HIV/AIDS and sexually transmitted infections,2008 - 2010,310,122266,0.2535455482309064
F,All ages,HIV/AIDS and sexually transmitted infections,2011 - 2013,177,59047,0.29976120717394616
F,All ages,HIV/AIDS and sexually transmitted infections,2014 - 2016,115,46222,0.24879927307342822
F,All ages,HIV/AIDS and sexually transmitted infections,2017 - 2019,94,35149,0.26743292839056587
F,All ages,HIV/AIDS and sexually transmitted infections,2020 - 2022,93,20669,0.44994919928395183
F,All ages,Maternal and neonatal disorders,2008 - 2010,11245,122266,9.197160289859815
F,All ages,Maternal and neonatal disorders,2011 - 2013,5942,59047,10.063170017105017
F,All ages,Maternal and neonatal disorders,2014 - 2016,4913,46222,10.629137640084808
F,All ages,Maternal and neonatal disorders,2017 - 2019,3329,35149,9.47110870864036
F,All ages,Maternal and neonatal disorders,2020 - 2022,1543,20669,7.465286177367071
F,All ages,Mental disorders,2008 - 2010,7221,122266,5.905975496049597
F,All ages,Mental disorders,2011 - 2013,3930,59047,6.655714938946941
F,All ages,Mental disorders,2014 - 2016,2929,46222,6.336809311583229
F,All ages,Mental disorders,2017 - 2019,2368,35149,6.737033770519788
